last_name,first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
Bader, Harrison,664056,---,,CF,6,7,3,3,1,0,2,5,94%,91%,3%
Bellinger, Cody,641355,Dodgers,,CF,6,7,-1,4,2,2,5,2,91%,89%,2%
Buxton, Byron,621439,Twins,,CF,7,8,2,2,4,1,4,3,95%,89%,6%
Carlson, Dylan,666185,Cardinals,,CF,3,4,0,2,2,0,3,1,87%,85%,2%
Celestino, Gilberto,665482,Twins,,CF,3,3,-1,2,3,-1,1,2,91%,89%,2%
Daza, Yonathan,602074,Rockies,,CF,0,0,0,-1,2,-1,-2,2,87%,87%,0%
Duran, Jarren,680776,Red Sox,,CF,-2,-2,0,2,-4,0,-1,-1,84%,85%,-1%
Duvall, Adam,594807,Braves,,LF,3,4,1,1,1,1,3,1,96%,92%,4%
García, Adolis,666969,Rangers,,CF,3,3,0,2,2,-1,3,0,91%,89%,2%
Greene, Riley,682985,Tigers,,CF,1,1,-5,4,2,0,1,1,89%,88%,1%
Grichuk, Randal,545341,Rockies,,CF,-2,-2,1,-1,0,-1,1,-3,87%,88%,-1%
Grisham, Trent,663757,Padres,,CF,16,17,2,6,8,2,11,7,92%,88%,4%
Harris II, Michael,671739,Braves,,CF,6,7,-3,5,4,1,3,4,91%,88%,3%
Hernández, Enrique,571771,Red Sox,,2B,4,4,-1,4,0,0,2,2,92%,90%,2%
Herrera, Odúbel,546318,Phillies,,CF,1,1,-1,1,2,0,2,-1,92%,91%,1%
Hicks, Aaron,543305,Yankees,,CF,0,0,0,2,-1,-1,2,-2,88%,89%,-1%
Judge, Aaron,592450,Yankees,,RF,1,1,-2,2,0,1,-1,2,91%,90%,1%
Kiermaier, Kevin,595281,Rays,,CF,1,1,0,-1,2,0,2,0,93%,92%,1%
Marsh, Brandon,669016,---,,CF,0,-1,0,-1,1,0,-2,1,90%,91%,-1%
McCormick, Chas,676801,Astros,,CF,5,6,1,2,3,1,3,3,93%,88%,5%
Meyers, Jake,676694,Astros,,CF,6,7,2,2,3,0,4,3,93%,88%,5%
Morel, Christopher,666624,Cubs,,2B,-4,-4,0,-2,-1,-1,-1,-3,87%,91%,-4%
Mullins, Cedric,656775,Orioles,,CF,8,9,-2,4,6,1,9,0,87%,85%,2%
Nimmo, Brandon,607043,Mets,,CF,5,6,1,2,2,1,5,1,91%,90%,1%
Ortega, Rafael,542364,Cubs,,CF,-1,-1,1,0,-1,-1,-1,0,88%,88%,0%
Pache, Cristian,665506,Athletics,,CF,7,7,1,3,3,1,5,2,93%,89%,4%
Reynolds, Bryan,668804,Pirates,,CF,-6,-7,0,0,-5,-2,1,-8,87%,89%,-2%
Robert Jr., Luis,673357,White Sox,,CF,3,3,0,1,2,1,-1,4,89%,88%,1%
Robles, Victor,645302,Nationals,,CF,5,6,2,3,2,-1,6,0,92%,90%,2%
Rodríguez, Julio,677594,Mariners,,CF,8,9,1,3,3,1,6,2,95%,93%,2%
Senzel, Nick,669222,Reds,,CF,0,0,0,0,1,-1,-2,1,89%,89%,0%
Siri, Jose,642350,---,,CF,13,14,1,5,8,0,12,2,94%,89%,5%
Slater, Austin,596103,Giants,,CF,1,1,1,2,0,-2,1,0,90%,89%,1%
Springer, George,543807,Blue Jays,,CF,1,1,0,1,0,1,3,-2,92%,91%,1%
Straw, Myles,664702,Guardians,,CF,12,13,2,5,6,0,7,6,91%,88%,3%
Sánchez, Jesús,660821,Marlins,,CF,-2,-2,0,0,-2,-1,-2,0,89%,90%,-1%
Taveras, Leody,665750,Rangers,,CF,4,4,-1,3,2,1,0,5,89%,87%,2%
Taylor, Michael A.,572191,Royals,,CF,5,5,-3,3,4,1,3,3,89%,88%,1%
Taylor, Tyrone,621438,Brewers,,CF,4,5,-1,3,3,0,2,2,90%,88%,2%
Thomas, Alek,677950,D-backs,,CF,6,7,1,2,3,1,4,3,91%,89%,2%
Thomas, Lane,657041,Nationals,,CF,1,1,1,1,1,-1,2,0,91%,90%,1%
Trout, Mike,545361,Angels,,CF,3,3,0,2,2,0,3,0,90%,89%,1%
Varsho, Daulton,662139,D-backs,,CF,7,8,0,3,3,1,6,2,94%,87%,7%
Vierling, Matt,663837,Phillies,,CF,-1,-1,0,0,-1,0,-1,0,89%,90%,-1%
Yastrzemski, Mike,573262,Giants,,RF,3,3,1,2,0,0,4,-1,89%,87%,2%
Zimmer, Bradley,605548,---,,CF,3,3,-1,1,4,0,1,3,89%,86%,3%
